relationships,age_last_milestone_year,milestones,Top500,age,relation10,age_first_milestone_year,Has_roundABCD,funding_rounds,has_roundB,milesto_4,million
13,3.3315,2,1,7.0,1,1.3507,0,2,0,1,0.0
4,7.1699,3,1,10.0,0,2.0027,0,2,0,1,0.0
5,6.8,4,1,3.0,0,0.4137,0,3,0,0,0.0
6,1.1808,1,1,5.57,0,1.1808,0,1,0,1,0.0
6,8.0055,1,1,14.0,0,8.0055,0,3,0,1,0.0
24,2.6712,2,1,3.03,1,1.8329,0,2,0,1,0.0
5,0.0,0,1,9.0,0,0.0,1,3,1,0,0.0
3,1.3973,2,1,4.28,0,0.7918,0,2,0,1,0.0
3,3.7507,1,1,7.74,0,3.7507,0,1,1,1,0.0
8,2.2411,1,0,3.41,0,2.2411,0,1,0,1,0.0
1,0.0,0,0,1.0,0,0.0,0,1,0,0,0.0
1,0.2466,1,1,7.43,0,0.2466,0,1,0,1,0.0
